Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
CD68+CD163+ macrophages,CD8+ T cells,0.002511346384683646,0.0031264849516664606,-0.0006151385669828147,0.41858141858141856,1.0,No
CD68+CD163+ macrophages,plasma cells,0.001441712081591252,0.001264734937646024,0.00017697714394522795,0.7052947052947053,1.0,No
CD68+CD163+ macrophages,adipocytes,0.002927618887012966,0.00023627793777473554,0.0026913409492382305,0.21678321678321677,1.0,No
CD68+CD163+ macrophages,CD68+CD163+ macrophages,0.01723547472600399,0.01998094049944077,-0.002745465773436779,0.33966033966033965,1.0,No
CD68+CD163+ macrophages,stroma,0.004215888335470854,0.0035153254710431317,0.0007005628644277226,0.5174825174825175,1.0,No
CD68+CD163+ macrophages,tumor cells,0.004192893293735125,0.0037968710908409223,0.00039602220289420295,0.7932067932067932,1.0,No
CD68+CD163+ macrophages,CD4+ T cells CD45RO+,0.0030045425468655843,0.0019324162696810485,0.0010721262771845358,0.2137862137862138,1.0,No
CD68+CD163+ macrophages,vasculature,0.0014716047109119396,0.0012499012558396519,0.00022170345507228776,0.7322677322677322,1.0,No
CD68+CD163+ macrophages,granulocytes,0.0029613450188990696,0.003983184752214882,-0.0010218397333158127,0.3066933066933067,1.0,No
stroma,CD3+ T cells,0.0,0.00030152268958239106,-0.00030152268958239106,0.5424575424575424,1.0,No
stroma,CD163+ macrophages,0.00043956043956043956,0.0,0.00043956043956043956,0.24175824175824176,1.0,No
stroma,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
stroma,CD11b+ monocytes,0.002976190476190476,0.008739281153074256,-0.00576309067688378,0.4935064935064935,1.0,No
stroma,lymphatics,0.0,0.0010730001754266564,-0.0010730001754266564,0.35564435564435565,1.0,No
stroma,CD68+ macrophages,0.0004564846317189674,0.001001627252073768,-0.0005451426203548007,0.4355644355644356,1.0,No
CD68+CD163+ macrophages,CD163+ macrophages,0.0,0.00011848341232227489,-0.00011848341232227489,0.8201798201798202,1.0,No
CD68+CD163+ macrophages,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
CD68+CD163+ macrophages,CD11b+ monocytes,0.0,0.00035085939215032715,-0.00035085939215032715,0.4155844155844156,1.0,No
CD68+CD163+ macrophages,lymphatics,0.0,0.0,0.0,1.0,1.0,No
CD68+CD163+ macrophages,CD68+ macrophages,0.0007385943889897363,0.002581203366188286,-0.0018426089771985499,0.19880119880119881,1.0,No
CD68+CD163+ macrophages,CD68+ macrophages GzmB+,0.00012297097884899163,0.00041666666666666664,-0.000293695687817675,0.951048951048951,1.0,No
CD68+CD163+ macrophages,nerves,0.00013550135501355014,0.0,0.00013550135501355014,0.2007992007992008,1.0,No
CD68+CD163+ macrophages,NK cells,0.0,0.0,0.0,1.0,1.0,No
CD68+CD163+ macrophages,immune cells,0.0017388516080978267,0.0007352941176470588,0.0010035574904507679,0.3826173826173826,1.0,No
CD68+CD163+ macrophages,immune cells / vasculature,0.000788341878559447,0.0002740812414060673,0.0005142606371533796,0.12687312687312688,1.0,No
CD68+CD163+ macrophages,tumor cells / immune cells,0.00042519218135726473,0.00012077294685990338,0.00030441923449736136,0.4515484515484515,1.0,No
CD68+CD163+ macrophages,smooth muscle,0.002388958641112711,0.004198574993897317,-0.0018096163527846058,0.08491508491508491,1.0,No
CD68+CD163+ macrophages,CD11b+CD68+ macrophages,0.00013617238000871503,0.0003601732674561431,-0.00022400088744742807,0.4175824175824176,1.0,No
CD68+CD163+ macrophages,CD11c+ DCs,0.00010016025641025641,0.0003100058921206278,-0.00020984563571037137,0.6073926073926074,1.0,No
CD68+CD163+ macrophages,CD4+ T cells,0.0005412127990963139,0.00034670163272534346,0.0001945111663709704,0.5924075924075924,1.0,No
adipocytes,smooth muscle,0.0007777149321266968,0.001282051282051282,-0.0005043363499245853,0.7622377622377622,1.0,No
adipocytes,CD11b+CD68+ macrophages,0.0,0.0,0.0,1.0,1.0,No
adipocytes,B cells,0.0007940251572327044,0.0,0.0007940251572327044,0.5044955044955045,1.0,No
adipocytes,CD11c+ DCs,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD4+ T cells,0.0,0.0017543859649122805,-0.0017543859649122805,0.5994005994005994,1.0,No
adipocytes,Tregs,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD8+ T cells,0.006172839506172839,0.00030165912518853697,0.005871180380984302,0.997002997002997,1.0,No
adipocytes,plasma cells,0.00033233632436025255,0.0007722007722007722,-0.00043986444784051965,0.5144855144855145,1.0,No
adipocytes,adipocytes,0.003991769547325103,0.002658170232134729,0.0013335993151903738,0.7052947052947053,1.0,No
adipocytes,CD68+CD163+ macrophages,0.02467123936628768,0.002891093082689903,0.021780146283597774,0.23776223776223776,1.0,No
adipocytes,stroma,0.020729177103764033,0.01221001221001221,0.008519164893751823,0.9760239760239761,1.0,No
adipocytes,tumor cells,0.06869655235090245,0.05867922347212288,0.010017328878779576,0.8131868131868132,1.0,No
adipocytes,CD4+ T cells CD45RO+,0.004861111111111111,0.002196796338672769,0.002664314772438342,0.8061938061938062,1.0,No
adipocytes,granulocytes,0.019079685746352413,0.017948717948717947,0.0011309677976344655,0.999000999000999,1.0,No
CD68+CD163+ macrophages,CD3+ T cells,0.0,0.0002525252525252525,-0.0002525252525252525,0.5424575424575424,1.0,No
plasma cells,tumor cells,0.004792703445581045,0.003544610810402282,0.001248092635178763,0.6243756243756243,1.0,No
plasma cells,CD4+ T cells CD45RO+,0.005426490558249558,0.002525779886102126,0.002900710672147432,0.24775224775224775,1.0,No
plasma cells,vasculature,0.0014353297536411987,0.0005980653952620679,0.0008372643583791307,0.3546453546453546,1.0,No
plasma cells,granulocytes,0.004091917605261961,0.005057790892437644,-0.0009658732871756833,0.8281718281718282,1.0,No
adipocytes,CD3+ T cells,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD163+ macrophages,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD11b+ monocytes,0.0,0.0,0.0,1.0,1.0,No
adipocytes,lymphatics,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD68+ macrophages,0.0,0.0,0.0,1.0,1.0,No
adipocytes,CD68+ macrophages GzmB+,0.0,0.0,0.0,1.0,1.0,No
adipocytes,nerves,0.0,0.0,0.0,1.0,1.0,No
adipocytes,NK cells,0.0,0.0,0.0,1.0,1.0,No
adipocytes,immune cells,0.0,0.0,0.0,1.0,1.0,No
adipocytes,immune cells / vasculature,0.0,0.0,0.0,1.0,1.0,No
adipocytes,tumor cells / immune cells,0.0007215007215007215,0.008,-0.007278499278499278,0.11188811188811189,1.0,No
plasma cells,nerves,0.0,0.0,0.0,1.0,1.0,No
plasma cells,NK cells,0.0,0.0,0.0,1.0,1.0,No
plasma cells,immune cells,0.0005064247921390779,0.0,0.0005064247921390779,0.3146853146853147,1.0,No
plasma cells,immune cells / vasculature,0.001984126984126984,0.0009300998762741604,0.0010540271078528236,0.6403596403596403,1.0,No
plasma cells,tumor cells / immune cells,0.0,0.0,0.0,1.0,1.0,No
plasma cells,smooth muscle,0.00096617649834365,0.0024413212311762333,-0.0014751447328325833,0.47352647352647353,1.0,No
plasma cells,CD11b+CD68+ macrophages,0.0,6.032090722644469e-05,-6.032090722644469e-05,0.998001998001998,1.0,No
plasma cells,B cells,0.0028559876833333404,0.0011210461894928525,0.0017349414938404879,0.2787212787212787,1.0,No
plasma cells,CD11c+ DCs,0.0,0.0,0.0,1.0,1.0,No
